time_s,time_min,cognitive_state,pupil_mm,rmssd_ms,grip_cv_pct,tremor_rms_um
0,0,Normal,4.02867806945892,36.16308200267156,7.610122627641354,86.87373304022445
0.2,0.0033333333333333335,Normal,4.011324137569422,41.19432872326263,7.5542885024929145,90.02173878757111
0.4,0.006666666666666667,Normal,3.9860121637435775,44.79697786568044,9.215565232909983,86.1922843767673
0.6000000000000001,0.010000000000000002,Normal,4.043372598293964,39.29901554645928,8.34154807924992,84.95433891218504
0.8,0.013333333333333334,Normal,4.050939306645685,40.35870874637643,8.925718674612959,79.94603214682306
1,0.016666666666666666,Normal,4.018017175597166,45.8694420387766,7.70444926896194,81.28690028539225
1.2000000000000002,0.020000000000000004,Normal,4.0862079355801475,40.75471097193155,9.344484160201514,90.63784836584904
1.4000000000000001,0.023333333333333334,Normal,4.003242247979893,39.80683908034252,8.560314449152287,90.3872300586471
1.6,0.02666666666666667,Normal,4.040267469533777,38.30620433086588,7.118351721911569,91.09126542548114
1.8,0.030000000000000002,Normal,3.997696552429456,43.97034940072842,8.004934185482721,89.2938838517504
2,0.03333333333333333,Normal,4.0713125941023245,40.94513211297748,8.75267007796797,95.14833920078144
2.2,0.03666666666666667,Normal,4.015133918053541,42.88514673332184,7.447898996092626,83.57054195587202
2.4000000000000004,0.04000000000000001,Normal,4.04374209481194,41.02522517372956,8.285531288652683,84.66959150819163
2.6,0.043333333333333335,Normal,4.023551696448356,42.09959234542832,9.172608279263745,90.63308647490261
2.8000000000000003,0.04666666666666667,Normal,4.010888754698509,43.68083811301911,8.331174301643701,90.89801010678751
3,0.05,Normal,3.9900547305561886,38.190762445398775,8.297062467264446,81.61178390991826
3.2,0.05333333333333334,Normal,3.997192056632142,37.62694800600709,7.971700318589142,86.61253179793614
3.4000000000000004,0.05666666666666667,Normal,3.9383497897532522,40.725075041367454,8.86887471666589,93.39371279545328
3.6,0.060000000000000005,Normal,3.9681472441617816,39.962428431569755,8.041670720760472,91.64658334501803
3.8000000000000003,0.06333333333333334,Normal,3.9540879714346584,45.33568428564692,9.381739349864965,85.87091790736862
4,0.06666666666666667,Normal,4.01882489232807,41.9460748575183,8.687196970151435,89.46871650570573
